Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.196606459038015,0.159554076614301,-0.273511091504777,0,0,0,26.726696863159,0.245199141981758,-0.00946027391407056,0.00114579576490531,0.391840709510225,0.00568905195018926,0.547509775056932,0,0,0,0,0,0,package://robot_urdf/meshes/base_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/base_link.STL,,body-1,base,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wheel_F_L,1.07648561544771E-05,6.80263411336202E-05,-0.0503799276000488,0,0,0,1.53947593448723,0.00231502038275002,1.27374968092606E-06,-5.49660694018323E-10,0.00231832385423594,-1.75624503670963E-08,0.00379050648843949,0,0,0,0,0,0,package://robot_urdf/meshes/wheel_F_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_urdf/meshes/wheel_F_L.STL,,wheel1-1,wheel_F_L,Axis_FL,FL,continuous,-0.46462,-0.08935,-0.53674,1.5708,-1.5708,0,base_link,0,0,1,,,,,,,,,,,,
wheel_B_L,4.79694490962412E-06,3.3175974175792E-05,-0.050620191174013,0,0,0,1.53948734867329,0.00231467622503237,5.74986323218259E-07,1.94771618708938E-10,0.00231869831238149,9.48373648930995E-09,0.00379052780504458,0,0,0,0,0,0,package://robot_urdf/meshes/wheel_B_L.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_urdf/meshes/wheel_B_L.STL,,wheel2-1,wheel_B_L,Axis_BL,BL,continuous,-0.033116,-0.08935,-0.53677,1.5708,-1.5708,0,base_link,0,0,1,,,,,,,,,,,,
wheel_F_R,-7.45341515417941E-06,3.24527912957118E-05,0.0503797223334211,0,0,0,1.53948084423571,0.00231481218460663,-9.29543388955514E-07,-2.34380420274058E-09,0.00231856080097748,1.02336674420067E-08,0.00379052736692745,0,0,0,0,0,0,package://robot_urdf/meshes/wheel_F_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_urdf/meshes/wheel_F_R.STL,,wheel2-2,wheel_F_R,Axis_FR,FR,continuous,-0.46462,0.39675,-0.53674,1.5708,-1.5708,0,base_link,0,0,1,,,,,,,,,,,,
wheel_B_R,-2.70104590549547E-06,3.33887780730874E-05,0.0506200738359986,0,0,0,1.53947586206913,0.00231461953096603,-3.29901578122386E-07,6.46119482582403E-09,0.00231873867220941,-1.63334148362116E-08,0.00379051740941874,0,0,0,0,0,0,package://robot_urdf/meshes/wheel_B_R.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://robot_urdf/meshes/wheel_B_R.STL,,wheel1-2,wheel_B_R,Axis_BR,BR,continuous,-0.033153,0.39725,-0.53677,1.5708,-1.5708,0,base_link,0,0,1,,,,,,,,,,,,
Link1,0.00516519390805298,-3.95566052726119E-07,-0.0016792926108159,0,0,0,1.94965748006371,0.0033558938483111,3.60894491269772E-09,-0.000490266027260296,0.00342351141560238,-3.67588275306507E-09,0.00374799670663445,0,0,0,0,0,0,package://robot_urdf/meshes/Link1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/Link1.STL,,link1-1,joint1,Axis_J1,J1,continuous,0,0,0.1475,0,0,-1.5708,base_link,0,0,1,150,3.15,-4.7124,4.7124,,,0,0,4.5623,-4.5623,20,0
Link2,0.166798975963922,1.47320631590959E-06,-0.0802983456188538,0,0,0,5.44943642021461,0.00871992317958262,-5.4856454937054E-08,-1.03461993329118E-08,0.0140432120160902,3.57152574860027E-08,0.0146920619977532,0,0,0,0,0,0,package://robot_urdf/meshes/Link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/Link2.STL,,link2-1,joint2,Axis_J2,J2,continuous,0.0668,0,0,3.1416,-1.5708,0,Link1,0,0,1,150,3.15,-3.1416,3.1416,,,0,0,2.9915,-2.9915,20,0
Link3,0.163906865228972,0.000129965396235146,0.042182877508537,0,0,0,2.38409152064763,0.00442717649200486,-5.95806870812063E-07,-4.24956917405155E-05,0.0105495126164853,-2.05730074973878E-05,0.00353203977106911,0,0,0,0,0,0,package://robot_urdf/meshes/Link3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/Link3.STL,,link3-1,joint3,Axis_J3,J3,continuous,0.3336,0,0,0,0,0,Link2,0,0,1,150,3.15,-3.1416,3.1416,,,0,0,2.9915,-2.9915,20,0
Link4,6.40693201658937E-05,-4.23991766818566E-06,-0.0455850272994715,0,0,0,0.784288127694868,0.000826321885545378,-5.94152792244425E-08,0.000112733093053267,0.000778159785612285,-1.12895437137984E-07,0.00076519536746294,0,0,0,0,0,0,package://robot_urdf/meshes/Link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/Link4.STL,,link4-1,joint4,Axis_J4,J4,continuous,0.3159,0,-0.008,0,0,0,Link3,0,0,1,150,3.15,-3.1416,3.1416,,,0,0,2.9915,-2.9915,20,0
Link5,6.4069320214466E-05,4.23991767492399E-06,0.0455850272994934,0,0,0,0.784288127694147,0.000826321885544634,5.94152793307062E-08,-0.000112733093052943,0.000778159785611345,-1.12895436951309E-07,0.000765195367462954,0,0,0,0,0,0,package://robot_urdf/meshes/Link5.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://robot_urdf/meshes/Link5.STL,,link4-2,joint5,Axis_J5,J5,continuous,0.0585,0,-0.0497,0,1.5708,0,Link4,0,0,1,150,3.15,-3.1416,3.1416,,,0,0,2.9915,-2.9915,20,0
